name,top_song_1,top_song_2,top_song_3
Joan La Barbara,"Four Walls: Act One, Scene VII (Vocal Interlude)",All My Hummingbirds Have Alibis: I. All my hummingbirds have alibis,"North Star, Film Score (For ""Mark di Suvero, Sculptor""): Etoile Polaire [North Star]"
Joey Valence & Brae,PUNK TACTICS,HOOLIGANG,DANCE NOW
Joseph Capriati,No Sleep,Easy Come Easy Go,Meandri
Juicy Bae,SOLtera nunca solA,Room 32,IDGaF
KI/KI,What's a Girl to Do in '25,Losing Control,Can't Stop Loving You
Kneecap,Carnival,Palestine (feat. Fawzi),I Measc na Laochra (Amongst the Warriors) [feat. Róisín Seoighe]
Knocked Loose,Counting Worms,Blinding Faith,Mistakes Like Fractures
korashe,Cómo duele si es tan bonito,TODOTODOTODO,santos (A AA a)
Kylesa,Scapegoat (2022 Remaster),Come as You Are,Running Red (2022 Remaster)
LaBlackie,Oh Uau,NOTI,Chinu Chano
Lambrini Girls,Love,No Homo,Cult of Celebrity
Las Petunias,audi 4 latas,Poeta en NY,patito
Léa Sen,Luv Him (about u),lvl 1 - HOME ALONE,Again
Lechuga Zafiro & Verraco: Hyperverbena,,,
Little Simz,WE PRAY,Point and Kill (feat. Obongjayar),Open Arms (feat. DEELA)
Loukeman,Manifester,Earlyy,Mad
Lucrecia Dalt,no death no danger,cosa rara (feat. David Sylvian),divina
Lusillon,,,
M8NSE,,,
Ma Ra,iru,,
Mac DeMarco,Chamber of Reflection,My Kind of Woman,For the First Time
Malena,,,
Malibu,,,
Marc Piñol,Sooner,Sooner (Live),Sooner (Mixed)
Marina,Primadonna,How to Be a Heartbreaker,
mark william lewis,Petals,Cold Paris Vogue,Painkillers
MARTIN,In the Name of Love,Scared to Be Lonely,Ocean (feat. Khalid)
Massive Attack,Angel,Teardrop,Unfinished Sympathy (2012 Mix/Master)
Matmos,For the Trees,Lipostudio... And So On,Breaking Bread
Mechatok Live,Expression On Your Face,Rainbow (Make It Double Oklou Mix),God (Evian Christ Remix)
Melt-Banana,Candy Gun,"Shield Your Eyes, a Beast in the Well of Your Hand",Zero
Men I Trust,Show Me How,I Hope to Be Around,Lauren
Menine,,,
Merzbow,Woodpecker No. 1,Promotion Man,Woodpecker No. 1 (Remastered)
Mina Galán,Bate,,
mobilegirl,Scalene,Forest Coloss,Forever
